geographicaream49,country,region,measureditemcpc,crop,timepointyears,loss_per_clean,percentage_loss_of_quantity,fsc_location1,periodofstorage,treatment,causeofloss,samplesize,units,method_datacollection,tag_datacollection
840,United States of America,,1510,potatoes,2015,6.0083,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1510,potatoes,2014,6.0524,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1371,"almonds, in shell",2013,3.4429,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1374,"hazelnuts, in shell",2013,2.2046,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1376,"walnuts, in shell",2013,0.2196,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1443,rapeseed or colza seed,2013,1.1958,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1510,potatoes,2013,6.0303,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,1701,"beans, dry",2013,0.0449,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States of America,,231,"hen eggs in shell, fresh",2013,2.0249,,Total Supply Chain Estimate,,,,,,,Food Balance Sheet/Ag. Production Questionnaire
840,United States Of America,National,1809,Sweetners,2012,11,11,Retail,,,,"estimated national annual average retail prices using Nielsen Homescan data for each food consumed at home in 2008. This method for determining average prices was also used in previous research (Buzby et al., 2011; Reed et al., 2004; Stewart et al., 2011). Members of the Homescan consumer panel in 61,440 households reported the foods they purchased, the quantities they bought, and the prices they paid. Uses the ERSs Loss-Adjusted Food Availability data",,"Estimated the amount of food loss at both the retail and consumer level in 2008 for each food in the LAFA data, combined with scanner data",Modelled
840,United States Of America,National,1809,Sweetners,2012,18,18,Consumer,,,,"estimated national annual average retail prices using Nielsen Homescan data for each food consumed at home in 2008. This method for determining average prices was also used in previous research (Buzby et al., 2011; Reed et al., 2004; Stewart et al., 2011). Members of the Homescan consumer panel in 61,440 households reported the foods they purchased, the quantities they bought, and the prices they paid. Uses the ERSs Loss-Adjusted Food Availability data",,"Estimated the amount of food loss at both the retail and consumer level in 2008 for each food in the LAFA data, combined with scanner data",Modelled
840,United States Of America,National,2211,Fluid Milk,2012,12,12,Retail,,,,"estimated national annual average retail prices using Nielsen Homescan data for each food consumed at home in 2008. This method for determining average prices was also used in previous research (Buzby et al., 2011; Reed et al., 2004; Stewart et al., 2011). Members of the Homescan consumer panel in 61,440 households reported the foods they purchased, the quantities they bought, and the prices they paid. Uses the ERSs Loss-Adjusted Food Availability data",,"Estimated the amount of food loss at both the retail and consumer level in 2008 for each food in the LAFA data, combined with scanner data",Modelled
